Year,EOCYPE
1999,3681.27
2000,3669.89
2001,3656.17
2002,3620.1
2003,3597.22
2004,3564.42
2005,3598.17
2006,3603.39
2007,3594.64
2008,3617.89
2009,3626.22
2010,3626.54
2011,3639.75
2012,3609.82
2013,3584.43
2014,3597.75
2015,3600.8
2016,3600.49
2017,3622.85
2018,3581.85
2019,3608.74
2020,3582.21
