Year,EOCYPE
2007,3594.64
2008,3611.675
2009,3623.67
2010,3632.175
2011,3636.815
2012,3635.305
2013,3631.925
2014,3635.06
2015,3633.96
2016,3633.28
2017,3634.58
2018,3637.13
2019,3633.67
2020,3634.14
2021,3634.355
2022,3629.33
2023,3630.295
2024,3632.93
2025,3633.18
2026,3633.825
