Year,EOCYPE
2007,1114.81
2008,1105.915
2009,1101.21
2010,1103.685
2011,1106.445
2012,1108.89
2013,1107.415
2014,1098.33
2015,1097.805
2016,1097.725
2017,1092.795
2018,1090.145
2019,1097.515
2020,1101.35
2021,1098.145
2022,1100.84
2023,1100.135
2024,1103.13
2025,1098.445
2026,1099.06
